1,4,Kolik dnů má běžný kalendářní rok,365,314,52,346
2,4,Kdo má svátek 29. září?,Michal,Eva,Pavel,Václav
3,4,"Jak se jmenuje slavný bombardér, po kterém je pojmenovaný i koktejl?",B-52,Bloody Mary,Spitfire,Daiquiri
4,4,Který z těchto jazyků byl uměle vytvořený?,Esperanto,Jidiš,Afrikánština,Okinawština
5,4,"Jak se anglicky říká tomu, když se argumentující snaží odvést pozornost od skutečného problému (česky úhybný manévr)?",Red herring,March hare,Barking wolf,Blue moon
6,4,Jak se jmenoval zpěvák punkové kapely The Clash?,Joe Strummer,Johnny Rotten,Greg Graffin,Keith Morris
7,4,"V písni: ""Kočka leze dírou, pes... ?""",oknem,kanálem,dveřmi,vikýřem
8,4,Kolik let je povinná vojenská služba v ČR pro všechny muže od věku 18 let?,0,1,"1,5",2
9,4,Co je to mascarpone?,Sýr,Hora v Itálii,Ostrov,Zelenina
10,4,Na jaké hoře bylo Mojžíšovi sděleno tzv. desatero?,Sinaj,Tábor,Kilimandžáro,Olivetské
11,4,Který bestseller o ekonomii napsal Tomáš Sedláček?,Ekonomie dobra a zla,Nahá ekonomie,Ekonomie v krizi,Ekonomie dluhu
12,4,Který z amerických prezidentů nebyl vyobrazen na hoře Mount Rushmore?,Ronald Regan,Thomas Jefferson,Abraham Lincoln,George Washington
13,4,Uhodit hřebíček na ... ?,hlavičku,ručičku,nohu,šroubovák
14,4,Jak se nazývá forma společnosti kde vládne muž či muži?,Patriarchát,Patokracie,Patrikracie,Matriarchát
15,4,Jaké platidlo se používá v Chorvatsku?,Kuna,Bobr,Luna,Rupie
16,4,Kdo je autorem knihy Komunistický manifest?,K.Marx a F.Engels,V.I.Lenin a J.V.Stalin,F.T.Marinetti,Klement Gottwald
17,4,Kolik hmotných památek UNESCO se nachází na území České republiky?,12,3,15,8
18,4,Kolikrát vyhrál Karel Loprais automobilový závod rallye Paříž-Daka?,Šestrkát,Desetkrát,Dvakrát,Osmkrát
19,4,Kolik sekund trvá jedna minuta?,60,15,100,30
20,4,Co jsou to šraňky?,Železniční závory,Druh sáněk,Doplněk oděvu,Psí spřežení
21,4,"Co v USA označují jako ""Obamacare""?",Reformu zdravotnictví,Reformu školství,Bezpilotní letouny,Radar v Brdech
22,4,"Kolik let musí být občanu České republiky, aby mohl získat poslanecký mandát?",21,40,18,30
23,4,Ze kterého rodu ze ságy Píseň ledu a ohně pochází Daenerys - Matka draků?,Targaryen,Stark,Martell,Tyrell
24,4,Které jezero je z poloviny slané a z poloviny sladké?,Jezero Balchaš,Žádné,Urmijské jezero,Jezero Bajkal
25,4,Můj otec je pro mého manžela?,Tchán,syn,zeť,Bratr
26,4,Jak se jmenuje svatá kniha Islámu?,Korán,Konán,Bible,Tora
27,4,Co je to frgál?,Koláč,Obraz,Oblek,Holub
28,4,"Kde sídlí Mezinárodní trestní soud, který stíhá mj. válečné zločiny?",V Haagu,V New Yorku,V Praze,V Moskvě
29,4,Ve kterém filmu se setkali Richard Gere a Edward Norton?,Prvotní strach,Lid versus Larry Flynt,Iluzionista,
30,4,Který dnešní stát leží na historickém území Besarábie?,Moldavsko,Turecko,Arménie,Spojené arabské emiráty
31,4,Po kom je pojmenované letiště v Praze Ruzyni?,Po Václavu Havlovi,Po Janu Lucemburském,Po Ivetě Bartošové,Po Janu Palachovi
32,4,Která zelenina je symbolem anglosaského svátku Halloween?,Dýně,Meloun,Brambor,Lilek
33,4,Jak zní množné číslo anglického slova tooth (zub)?,Teeth,Toothes,Tothese,Teethes
34,4,Na které hoře bylo Mojžíšovi zjeveno tzv. desatero?,Sinaj,Kilimandžáro,Olivetské,Tábor
35,4,Jak se jmenuje psychologický test využívající inkoustové skvrny k rozboru osobnosti?,Rorschachův test,Bleulerův test,Stanford-Binetův test,Jungův test
36,4,Jak se říká brýlím s rukojetí dříve nošeným především na plesy a do opery?,Lorňon,Flašinet,Klarent,Morinet
37,4,"Pokud mám na zboží záruku 24 měsíců, na kolik let mám záruku?",Dva roky,Jeden a půl roku,Jeden rok,Tři roky
38,4,"Kdo nebo co je to ""funebrák""?",Muž z pohřební služby,Druh nářadí,Moravské pečivo,Simulant
39,4,"Která z těchto zemí nepatřila do skupiny G8, dokud ještě G8 existovala",Čína,Německo,USA,Itálie
40,4,Jak se jmenuje první jaderná elektrárna na území České republiky?,Dukovany,Jaslovské Bohunice,Tušimice,Temelín
41,4,"Jak se jmenuje nástupce Kim Čong-ila, zesnulého v roce 2011, vládce Korejské lidově demokratické republiky?",Kim Čong-un,Jean-Paul Sartre,Kim Čing-an,Kim Čong-čong
42,4,Jak se jmenuje fyzikální teorie interpretující výsledky kvantové teorie vyvinutá Davidem Bohmem?,Teorie pilotní vlny,Schrödingerova kočka,Teorie superstrun,Kvantová dekoherence
